,Sample ID,Scintillation Counts (CPM),% Error,Volume Added,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,66.5,17.34,0.2,34.5944884141,1.7297244209,-782.860976392,-46.2719505845
1,5000_B,61.0,18.11,0.2,34.5340406101,1.72670203072,-781.355427102,-46.1903521777
2,5000_C,60.5,18.18,0.2,34.5285505954,1.72642752998,-781.218689501,-46.1829412227
3,10000_A,77.5,16.06,0.4,34.7157016278,1.73578508157,-707.109868093,-46.0352818607
4,10000_B,86.0,15.25,0.4,34.8096571983,1.74048286008,-709.449981929,-46.1618929643
5,10000_C,56.0,18.9,0.4,34.4791797212,1.72395898629,-701.218911516,-45.7165607232
6,10000_A_NoFHY,82.5,15.57,0.4,34.7709388539,1.73854694287,-708.485639604,-46.1097173398
7,10000_B_NoFHY,99.0,14.21,0.4,34.9538460385,1.74769230207,-713.041235732,-46.3561996966
8,10000_C_NoFHY,88.0,15.08,0.4,34.8318013206,1.74159006619,-710.001516732,-46.1917338101
9,25000_A,148.0,11.62,1.0,35.5027158885,1.77513579454,-490.401365601,-46.2165797341
10,25000_B,152.0,11.47,1.0,35.5479002776,1.77739501399,-491.526755118,-46.276731946
11,25000_C,142.0,11.87,1.0,35.4350469692,1.77175234858,-488.715962879,-46.1264990547
12,50000_A,258.0,8.8,2.0,36.7664688944,1.83832344481,-128.026569746,-47.5006310827
13,50000_B,242.0,9.09,2.0,36.5798918326,1.82899459172,-123.379569451,-47.2627217007
14,50000_C,222.0,9.49,2.0,36.3480013986,1.81740007002,-117.603967111,-46.967236948
15,75000_A,331.5,7.77,3.0,37.6358590734,1.88179295375,244.170463395,49.5267544378
16,75000_B,345.5,7.61,3.0,37.8037733086,1.8901886655,239.988290664,49.7266685927
17,75000_C,369.0,7.36,3.0,38.0873152164,1.90436576089,232.926225712,50.0647660518
18,100000_A,473.0,6.5,4.0,39.3678901829,1.96839450921,594.882043721,53.6164400287
19,100000_B,502.5,6.31,4.0,39.7389067179,1.98694533596,585.641283198,54.0244476013
20,100000_C,516.5,6.22,4.0,39.9162038035,1.99581019024,581.225415562,54.2199728437
